Match Type,POTM,Venue,Team1,Team2,Toss_Winner,Toss_Decision,Winner,Win_Margin,Result_Type,Target_Runs,Match,Season
League,David Hussey,"Punjab Cricket Association Stadium, Mohali, Chandigarh",Deccan Chargers,Kings XI Punjab,Deccan Chargers,Bat first,Kings XI , 4 wickets ,Wickets,191,61,2012
League,Ambati Rayudu,"M Chinnaswamy Stadium, Bangalore",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,Field first,MI , 5 wickets ,Wickets,172,62,2012
League,Michael Hussey,"Eden Gardens, Kolkata",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field first,CSK , 5 wickets ,Wickets,159,63,2012
League,Umesh Yadav,"Feroz Shah Kotla, Delhi",Kings XI Punjab,Delhi Daredevils,Kings XI Punjab,Bat first,Daredevils , 5 wickets ,Wickets,137,64,2012
League,Sunil Narine,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Field first,KKR , 32 runs,Runs,141,65,2012
League,Adam Gilchrist,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,Field first,Kings XI , 6 wickets ,Wickets,121,66,2012
League,Chris Gayle,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,Field first,RCB , 21 runs,Runs,216,67,2012
League,Dale Steyn,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,Bat first,Chargers , 5 wickets ,Wickets,127,68,2012
League,Umesh Yadav,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field first,Daredevils , 6 wickets ,Wickets,142,69,2012
League,Shakib Al Hasan,"Subrata Roy Sahara Stadium, Pune",Kolkata Knight Riders,Pune Warriors,Kolkata Knight Riders,Bat first,KKR , 34 runs,Runs,137,70,2012
League,Dale Steyn,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Field first,Chargers , 9 runs,Runs,133,71,2012
League,Dwayne Smith,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Bat first,MI , 10 wickets ,Wickets,163,72,2012
